Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.3775096017481,GS-Delayed,2030,H2-inj min,EUR/ton steel
BR,583.079741529869,GS-Delayed,2030,H2-inj min,EUR/ton steel
CA,529.6874227245444,GS-Delayed,2030,H2-inj min,EUR/ton steel
CH,1423.4522763072569,GS-Delayed,2030,H2-inj min,EUR/ton steel
CN,251.13194157059527,GS-Delayed,2030,H2-inj min,EUR/ton steel
EU,503.1517490986752,GS-Delayed,2030,H2-inj min,EUR/ton steel
GB,376.82963328169825,GS-Delayed,2030,H2-inj min,EUR/ton steel
ID,384.46800065655026,GS-Delayed,2030,H2-inj min,EUR/ton steel
IN,222.5967057592354,GS-Delayed,2030,H2-inj min,EUR/ton steel
JP,506.2837922043431,GS-Delayed,2030,H2-inj min,EUR/ton steel
KR,376.26900398326876,GS-Delayed,2030,H2-inj min,EUR/ton steel
MX,499.8279816128009,GS-Delayed,2030,H2-inj min,EUR/ton steel
NO,664.97122531931,GS-Delayed,2030,H2-inj min,EUR/ton steel
RU,355.6964919654815,GS-Delayed,2030,H2-inj min,EUR/ton steel
TR,321.68767817827256,GS-Delayed,2030,H2-inj min,EUR/ton steel
US,676.4865803393034,GS-Delayed,2030,H2-inj min,EUR/ton steel
WA,681.6223774916624,GS-Delayed,2030,H2-inj min,EUR/ton steel
WE,184.66910496082355,GS-Delayed,2030,H2-inj min,EUR/ton steel
WF,529.9692731153436,GS-Delayed,2030,H2-inj min,EUR/ton steel
WL,1182.96098003899,GS-Delayed,2030,H2-inj min,EUR/ton steel
WM,626.8643685248762,GS-Delayed,2030,H2-inj min,EUR/ton steel
ZA,234.38015287667602,GS-Delayed,2030,H2-inj min,EUR/ton steel
