Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.37886039813003,GS-Delayed,2030,CHL-inj min,EUR/ton steel
BR,583.080028045919,GS-Delayed,2030,CHL-inj min,EUR/ton steel
CA,529.6884564423015,GS-Delayed,2030,CHL-inj min,EUR/ton steel
CH,1423.4528662730086,GS-Delayed,2030,CHL-inj min,EUR/ton steel
CN,251.1322512093554,GS-Delayed,2030,CHL-inj min,EUR/ton steel
EU,503.33818924955125,GS-Delayed,2030,CHL-inj min,EUR/ton steel
GB,376.8299641880933,GS-Delayed,2030,CHL-inj min,EUR/ton steel
ID,384.46819785297026,GS-Delayed,2030,CHL-inj min,EUR/ton steel
IN,222.59678835729414,GS-Delayed,2030,CHL-inj min,EUR/ton steel
JP,506.2841005574218,GS-Delayed,2030,CHL-inj min,EUR/ton steel
KR,376.26994683005626,GS-Delayed,2030,CHL-inj min,EUR/ton steel
MX,499.8288048987981,GS-Delayed,2030,CHL-inj min,EUR/ton steel
NO,664.9770452589215,GS-Delayed,2030,CHL-inj min,EUR/ton steel
RU,355.6975943637559,GS-Delayed,2030,CHL-inj min,EUR/ton steel
TR,321.69327154102075,GS-Delayed,2030,CHL-inj min,EUR/ton steel
US,676.4893084950756,GS-Delayed,2030,CHL-inj min,EUR/ton steel
WA,681.623106135845,GS-Delayed,2030,CHL-inj min,EUR/ton steel
WE,184.6693715170403,GS-Delayed,2030,CHL-inj min,EUR/ton steel
WF,529.9696204585094,GS-Delayed,2030,CHL-inj min,EUR/ton steel
WL,1182.961539077906,GS-Delayed,2030,CHL-inj min,EUR/ton steel
WM,626.8753240061611,GS-Delayed,2030,CHL-inj min,EUR/ton steel
ZA,234.38016565771065,GS-Delayed,2030,CHL-inj min,EUR/ton steel
